Squad,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Position,Footed,Height,Weight,Wages
Manchester,Dermot Mee,NIR,GK,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
Manchester,Habeeb Ogunneye,ENG,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
Manchester,Radek Vitek,CZE,GK,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
West,Jarrod Bowen,ENG,FW,27.0,27.0,27.0,2426.0,27.0,14.0,3.0,17.0,14.0,0.0,0.0,2.0,0.0,9.3,9.3,3.8,13.1,FW-MF,Left,178.0,69.0,"￡ 120,000"
West,James Ward-prowse,ENG,MF,29.0,27.0,27.0,2332.0,25.9,5.0,7.0,12.0,3.0,2.0,2.0,4.0,0.0,5.1,3.5,5.6,9.1,MF,Right,173.0,66.0,"￡ 115,000"
West,Vladimir Coufal,CZE,DF,31.0,26.0,26.0,2300.0,25.6,0.0,6.0,6.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,3.0,3.0,DF-MF,Right,174.0,69.0,"￡ 35,000"
West,Emerson Palmieri,ITA,DF,29.0,26.0,25.0,2271.0,25.2,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,1.1,1.1,2.2,3.3,DF-MF,Left,176.0,63.0,"￡ 95,000"
West,Alphonse Areola,FRA,GK,31.0,25.0,25.0,2204.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,GK,Right,192.0,87.0,"￡ 120,000"
West,Tomas Soucek,CZE,MF,29.0,27.0,25.0,2145.0,23.8,6.0,1.0,7.0,6.0,0.0,0.0,5.0,0.0,5.6,5.6,0.7,6.3,MF,Right,190.0,83.0,"￡ 90,000"
West,Kurt Zouma,FRA,DF,29.0,23.0,23.0,1997.0,22.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,0.1,1.6,DF,Right,190.0,92.0,"￡ 125,000"
West,Edson Alvarez,MEX,MF,26.0,24.0,22.0,1878.0,20.9,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,1.3,1.3,0.4,1.7,DF-MF,Right,185.0,71.0,"￡ 100,000"
West,Lucas Paqueta,BRA,"FW,MF",26.0,21.0,21.0,1756.0,19.5,3.0,5.0,8.0,2.0,1.0,1.0,7.0,0.0,3.9,3.1,3.7,6.8,FW-MF,Left,180.0,72.0,"￡ 150,000"
West,Nayef Aguerd,MAR,DF,27.0,20.0,20.0,1767.0,19.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.5,1.5,0.2,1.8,DF,Left,188.0,76.0,"￡ 50,000"
